"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE ","FFM CAP ","NM 52W H 
","NM 52W L 
"
"HEROMOTOCO","3,134.05","3,179.00","44.95","1.43","3,179.00","7,296","23,193,984.00","407,103,928,217.16","3,206.85","2,246.00"
"NESTLEIND","22,820.10","23,140.00","319.90","1.40","23,140.00","1,010","23,371,400.00","814,080,023,855.89","23,395.35","17,880.00"
"TATAMOTORS","629.25","636.00","6.75","1.07","636.00","120,452","76,607,472.00","1,107,725,412,823.46","634.80","375.20"
"BAJFINANCE","7,581.60","7,649.40","67.80","0.89","7,649.40","4,475","34,231,065.00","2,021,286,074,588.35","7,999.90","5,485.70"
"SUNPHARMA","1,100.40","1,110.00","9.60","0.87","1,110.00","8,608","9,554,880.00","1,188,102,690,444.60","1,107.35","856.40"
"CIPLA","1,048.95","1,058.00","9.05","0.86","1,058.00","6,109","6,463,322.00","550,379,746,892.43","1,185.25","852.00"
"BRITANNIA","4,968.90","5,007.00","38.10","0.77","5,007.00","956","4,786,692.00","586,456,733,237.26","5,270.35","3,564.10"
"HINDALCO","432.95","436.15","3.20","0.74","436.15","9,507","4,146,478.05","632,399,882,124.24","504.00","358.80"
"ICICIBANK","992.00","999.00","7.00","0.71","999.00","121,794","121,672,206.00","6,939,734,425,792.00","1,008.70","791.65"
"SBIN","617.65","621.80","4.15","0.67","621.80","47,645","29,625,661.00","2,370,283,221,245.09","629.55","499.35"
"AXISBANK","971.50","977.65","6.15","0.63","977.65","28,875","28,229,643.75","2,662,626,527,872.29","990.00","702.05"
"POWERGRID","247.45","248.95","1.50","0.61","248.95","39,540","9,843,483.00","845,777,147,486.43","263.60","186.35"
"ONGC","171.00","172.00","1.00","0.58","172.00","60,191","10,352,852.00","666,880,600,710.06","172.25","121.50"
"COALINDIA","230.95","232.30","1.35","0.58","232.30","15,873","3,687,297.90","526,614,379,634.64","263.40","194.60"
"EICHERMOT","3,307.85","3,325.55","17.70","0.54","3,325.55","506","1,682,728.30","452,610,568,455.50","3,889.65","2,836.00"
"DRREDDY","5,391.70","5,420.00","28.30","0.52","5,420.00","8,464","45,874,880.00","655,509,491,184.02","5,436.85","3,997.00"
"HCLTECH","1,112.90","1,118.50","5.60","0.50","1,118.50","13,861","15,503,528.50","1,177,814,775,281.98","1,202.60","882.00"
"UPL","632.15","635.00","2.85","0.45","635.00","3,491","2,216,785.00","317,912,735,572.96","807.00","630.00"
"BAJAJFINSV","1,657.50","1,664.90","7.40","0.45","1,664.90","3,352","5,580,744.80","897,631,152,483.00","1,844.00","1,215.00"
"LT","2,605.25","2,616.00","10.75","0.41","2,616.00","7,902","20,671,632.00","3,149,206,836,687.80","2,638.00","1,741.90"
"ADANIENT","2,418.20","2,428.00","9.80","0.41","2,428.00","1,912","4,642,336.00","744,322,691,916.59","4,190.00","1,017.45"
"HDFCBANK","1,678.40","1,684.65","6.25","0.37","1,684.65","148,552","250,258,126.80","12,524,546,022,493.82","1,757.50","1,365.00"
